id,platform,product_id,text_en,created_at
s1,amazon,B000TEST001,the battery life is amazing great product,1700000000
s2,amazon,B000TEST001,battery died after two weeks very disappointed,1700086400
s3,amazon,B000TEST001,shipping was fast and packaging good,1700172800
s4,amazon,B000TEST001,poor quality plastic feels cheap,1700259200
s5,amazon,B000TEST001,love the sound quality excellent bass,1700345600
s6,amazon,B000TEST001,noise fan is too loud at night,1700432000
s7,amazon,B000TEST001,returned item not as described,1700518400
s8,amazon,B000TEST001,great value for money would buy again,1700604800
s9,amazon,B000TEST001,screen flickers sometimes annoying,1700691200
s10,amazon,B000TEST001,customer service helped me quickly,1700777600
